nome;identificador;tipo_societario;no_grafo;porque;situacao_do_passeio;no_formulario;notas
Petrobras;33000167000101;sociedade anônima aberta;sim;"industrial 1; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
JBS;02916265000160;sociedade anônima aberta;sim;"industrial 2; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Raízen;33453598000123;sociedade anônima aberta;sim;"industrial 3; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Vale;33592510000154;sociedade anônima aberta;sim;"industrial 4; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Vibra;34274233000102;sociedade anônima aberta;sim;"industrial 5; semente original";pulada-já-semente;sim;
Cosan;50746577000115;sociedade anônima aberta;sim;"industrial 6; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Marfrig;03853896000140;sociedade anônima aberta;sim;"industrial 7; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Ultrapar;33256439000139;sociedade anônima aberta;sim;"industrial 8; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Grupo Carrefour Brasil;vazio;desconhecido;não;industrial 9;só inventário;não;
Cargill;vazio;desconhecido;não;industrial 10;só inventário;não;
Ambev;07526557000100;sociedade anônima aberta;sim;"industrial 11; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Stellantis;vazio;desconhecido;não;industrial 12;só inventário;não;
Braskem;42150391000170;sociedade anônima aberta;sim;"industrial 13; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Assaí Atacadista;06057223000171;sociedade anônima aberta;sim;"industrial 14; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Bunge Alimentos;vazio;desconhecido;não;industrial 15;só inventário;não;
Gerdau;33611500000119;sociedade anônima aberta;sim;"industrial 16; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
ArcelorMittal;vazio;desconhecido;não;industrial 17;só inventário;não;
Copersucar;vazio;desconhecido;não;industrial 18;só inventário;não;
Mercado Livre;vazio;desconhecido;não;industrial 19;só inventário;não;
BRF;01838723000127;sociedade anônima aberta;sim;"industrial 20; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Telefônica Brasil;02558157000162;sociedade anônima aberta;sim;"industrial 21; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Shell;vazio;desconhecido;não;industrial 22;só inventário;não;
Cofco International;vazio;desconhecido;não;industrial 23;só inventário;não;
Rede D'Or;06047087000139;sociedade anônima aberta;sim;"industrial 24; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Neoenergia;01083200000118;sociedade anônima aberta;sim;"industrial 25; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Claro Participações;07043628000113;sociedade anônima aberta;sim;"industrial 26; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Suzano;16404287000155;sociedade anônima aberta;sim;"industrial 27; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Acelen;vazio;desconhecido;não;industrial 28;só inventário;não;
Equatorial;03220438000173;sociedade anônima aberta;sim;"industrial 29; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Grupo Enel;vazio;desconhecido;não;industrial 30;só inventário;não;
CSN;33042730000104;sociedade anônima aberta;sim;"industrial 31; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Volkswagen;vazio;desconhecido;não;industrial 32;só inventário;não;
CPFL Energia;02429144000193;sociedade anônima aberta;sim;"industrial 33; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Grupo Simpar;07415333000120;sociedade anônima aberta;sim;"industrial 34; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Amaggi;vazio;desconhecido;não;industrial 35;só inventário;não;
Eletrobras;00001180000126;sociedade anônima aberta;sim;"industrial 36; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Cemig;17155730000164;sociedade anônima aberta;sim;"industrial 37; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
RD Saúde;61585865000151;sociedade anônima aberta;sim;"industrial 38; semente original";pulada-já-semente;sim;skip_redraw: não redesenhar.
Louis Dreyfus Company;vazio;desconhecido;não;industrial 39;só inventário;não;
