rank_2024,rank_2023,empresa,sede,capital_origem,razao_social,ranking_source,source_url,source_json,retrieved_at
1,1,Itaú Unibanco,SP,Brasil,Itaú Unibanco Holding S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
2,2,Banco do Brasil,DF,Brasil,Banco do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
3,3,Bradesco,SP,Brasil,Banco Bradesco S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
4,4,Caixa,DF,Brasil,Caixa Econômica Federal,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
5,5,Santander,SP,Espanha,Banco Santander (Brasil) S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
6,6,BTG Pactual,RJ,Brasil,Banco BTG Pactual S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
7,7,Sicredi,RS,Brasil,Sistema Cooperativo Sicredi,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
8,9,Sicoob,DF,Brasil,Sistema de Cooperativas de Crédito do Brasil,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
9,8,Safra,SP,Brasil,Banco Safra S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
10,10,Citibank,SP,EUA,Banco Citibank S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
11,14,Banco XP,RJ,Brasil,Banco XP S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
12,12,Banrisul,RS,Brasil,Banco do Estado do Rio Grande do Sul S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
13,11,BV,SP,Brasil,Banco Votorantim S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
14,13,J. P. Morgan,SP,EUA,Banco J.P. Morgan S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
15,15,Nubank,SP,Brasil,NU Pagamentos S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
16,16,BNP Paribas,SP,França,Banco BNP Paribas Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
17,17,Daycoval,SP,Brasil,Banco Daycoval S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
18,21,C6,SP,Brasil,Banco C6 S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
19,20,Banco Inter,MG,Brasil,Banco Inter S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
20,19,ABC Brasil,SP,Bahrain,Banco ABC Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
21,18,Banco do Nordeste,CE,Brasil,Banco do Nordeste do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
22,28,Master,RJ,Brasil,Banco Master S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
23,23,Rabobank International,SP,Holanda,Banco Rabobank International Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
24,22,BRB,DF,Brasil,BRB - Banco de Brasília S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
25,24,Banco da Amazônia,PA,Brasil,Banco da Amazônia S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
26,26,Volkswagen,SP,Alemanha,Banco Volkswagen S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
27,25,BMG,MG,Brasil,Banco BMG S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
28,38,Goldman Sachs,SP,EUA,Goldman Sachs do Brasil Banco Múltiplo S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
29,29,Bank of America Merrill Lynch,SP,EUA,Bank of America Merrill Lynch Banco Múltiplo S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
30,30,BancoSeguro,SP,Brasil,BancoSeguro S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
31,34,Mizuho,SP,Japão,Banco Mizuho do Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
32,27,Banestes,ES,Brasil,Banestes S.A. Banco do Estado do Espírito Santo,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
33,31,MUFG Brasil,SP,Japão,Banco MUFG Brasil S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
34,32,BOCOM BBM,BA,China,Banco Bocom BBM S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/os-100-maiores-bancos/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/os-100-maiores-bancos/Bancos2025.json,2026-08-26
