rank_2024,rank_2023,empresa,sede,razao_social,ranking_source,source_url,source_json,retrieved_at
1,,Bradesco Seguros,SP,Bradesco Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
2,1,SulAmérica,RJ,Sul América S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
3,2,Porto Seguro,SP,Porto Seguro S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
4,3,Mapfre Brasil,SP,Mapfre Brasil Participações S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
5,-,Brasilseg,SP,Brasilseg Companhia de Seguros,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
6,5,Tokio Marine,SP,Tokio Marine Seguradora S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
7,6,Allianz Seguros,SP,Allianz Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
8,7,Yelum Seguradora,SP,Yelum Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
9,8,Zurich Minas Brasil,MG,Zurich Minas Brasil Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
10,9,Itaú Seguros,SP,Itaú Seguros S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/as-50-maiores-seguradoras-ramos-gerais/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/as-50-maiores-seguradoras-ramos-gerais/Seguros2025.json,2026-08-26
