rank_2024,empresa,razao_social,cnpj_basico,cnpj_full,listed_flag,listed_source,soe_flag,soe_source,controlador_tipo,freeze_status_hint,notes,source_doc,cnpj_source,retrieved_at
1,Petrobras,Petróleo Brasileiro S.A. Petrobras,33000167,33000167000101,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=9512 CNPJ=33.000.167/0001-01 CATEG_REG=Categoria A CONTROLE_ACIONARIO=ESTATAL HOLDING DENOM_SOCIAL=PETRÓLEO BRASILEIRO S.A. - PETROBRAS; B3 historically PETR3/PETR4 (CVM list is the listed_flag source),true,"Petrobras Carta Anual de Políticas Públicas e Governança Corporativa 2025 (ano-base 2024): 'sociedade de economia mista supervisionada pelo Ministério de Minas e Energia'; 'A Petrobras é controlada pela União Federal, que detém diretamente 50,26% das ações ordinárias e 29,02% do nosso capital social total' (posição 31 jan 2025). Local file /workspace/research/controllers/petrobras-carta-anual-2025.txt. CVM CONTROLE_ACIONARIO=ESTATAL HOLDING. RF natureza_juridica=2038 (sociedade de economia mista). SEST/MGI Relatório Agregado das Empresas Estatais Federais 2025 (ano-base 2024) covers companies in which União holds, directly or indirectly, majority voting capital and includes Petrobras grupo.",soe,skip_soe,Federal SOE: União is Art. 116 controller. Do not freeze CEO/minister/CA chair. RF razao=PETROLEO BRASILEIRO S A PETROBRAS capital_social=205431960490.52 ente_federativo null (economia mista still coded 2038). Only União-controller SOE in this top-50.,Carta Anual Petrobras 2025; CVM cad_cia_aberta CD_CVM=9512; BD br_me_cnpj cnpj_basico=33000167,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
2,JBS,JBS S.A.,02916265,02916265000160,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=20575 CNPJ=02.916.265/0001-60 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=JBS SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO. RF natureza=2046 (SA aberta). União is not the controller.,listed,pending,"CNPJ taken from CVM listed issuer JBS SA 02.916.265/0001-60, confirmed in BD as JBS S/A natureza=2046 capital=23631071304.24. REJECTED candidate: BD exact 'JBS S.A.' cnpj_basico=07452328 natureza=2054 capital=0 (wrong company; do not use).",CVM cad_cia_aberta CD_CVM=20575; BD br_me_cnpj cnpj_basico=02916265,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
3,Raízen,Raizen S.A.,33453598,33453598000123,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=25917 CNPJ=33.453.598/0001-23 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=RAÍZEN S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO. Natureza=2046.,listed,pending,"Brazilian listed issuer (sede RJ per Valor). Valor capital_origem=BR/GB/HO is a JV hint (Cosan+Shell) but the Brazilian company is listed in Brazil with HQ in Brazil, so controlador_tipo=listed not foreign. Person walk is FRE 6.1 of Raízen S.A. (ticket #25).",CVM cad_cia_aberta CD_CVM=25917; BD br_me_cnpj cnpj_basico=33453598; Valor capital_origem=BR/GB/HO,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
4,Vale,Vale S.A.,33592510,33592510000154,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=4170 CNPJ=33.592.510/0001-54 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=VALE S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO. Privatized 1997. Natureza=2046.,listed,pending,RF exact VALE S.A. natureza=2046 capital=77300000000. LIKE 'VALE SA%' matches thousands of unrelated firms; used exact + CVM CNPJ.,CVM cad_cia_aberta CD_CVM=4170; BD br_me_cnpj cnpj_basico=33592510,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
5,Vibra,Vibra Energia S.A.,34274233,34274233000102,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=24295 CNPJ=34.274.233/0001-02 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=VIBRA ENERGIA S/A,false,Former BR Distribuidora (Petrobras system) now privatized. CVM CONTROLE_ACIONARIO=PRIVADO. Natureza=2046. União is not the controller.,listed,pending,RF razao=VIBRA ENERGIA S.A (no second period) natureza=2046. Not on SEST federal SOE perimeter as União-controlled issuer.,CVM cad_cia_aberta CD_CVM=24295; BD br_me_cnpj cnpj_basico=34274233,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
6,Cosan,Cosan S.A.,50746577,50746577000115,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=19836 CNPJ=50.746.577/0001-15 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=COSAN S.A.,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF exact COSAN S.A. natureza=2046 capital=8182738100.99.,CVM cad_cia_aberta CD_CVM=19836; BD br_me_cnpj cnpj_basico=50746577,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
7,Marfrig,Marfrig Global Foods S.A.,03853896,03853896000140,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=20788 CNPJ=03.853.896/0001-40 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=MARFRIG GLOBAL FOODS SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF exact MARFRIG GLOBAL FOODS S.A. natureza=2046. LIKE 'MARFRIG%' hits many unrelated ME/IS names; used exact + CVM.,CVM cad_cia_aberta CD_CVM=20788; BD br_me_cnpj cnpj_basico=03853896,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
8,Ultrapar,Ultrapar Participações S.A.,33256439,33256439000139,true,CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=ATIVO CD_CVM=18465 CNPJ=33.256.439/0001-39 CATEG_REG=Categoria A CONTROLE_ACIONARIO=PRIVADO DENOM_SOCIAL=ULTRAPAR PARTICIPAÇÕES SA,false,Not a federal SOE. CVM CONTROLE_ACIONARIO=PRIVADO.,listed,pending,RF razao=ULTRAPAR PARTICIPACOES S/A natureza=2046. Rejected similarly named firms (ULTRAPAR PARTICIPACAO E AGROPECUARIA S.A 32393407 etc.).,CVM cad_cia_aberta CD_CVM=18465; BD br_me_cnpj cnpj_basico=33256439,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
9,Grupo Carrefour Brasil,Atacadão S.A.,75315333,75315333000109,false,"CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): SIT=CANCELADA CD_CVM=24171 CNPJ=75.315.333/0001-09 DT_CANCEL=2025-12-22 DENOM_SOCIAL=ATACADÃO S.A.; Valor 22 Dec 2025: CVM cancelled categoria B registry, company is now fechada and a wholly-owned subsidiary of Carrefour S.A. (France).",false,Not a federal SOE. CVM CONTROLE_ACIONARIO=ESTRANGEIRO (while it was listed).,foreign,pending,"Valor capital_origem=FR. CVM had ESTRANGEIRO then cancelled listing 2025-12-22 (Ofício CVM/SEP cited in company notice). Parent HQ: Carrefour S.A., France. listed_flag=false as of retrieval. LIKE 'ATACADAO SA%' matches hundreds of unrelated atacarejo shops; used exact ATACADAO S.A. + CVM CNPJ capital=17304241526.26 natureza=2046 (RF natureza may lag the CVM cancel).",CVM cad_cia_aberta CD_CVM=24171 DT_CANCEL=2025-12-22; https://valor.globo.com/empresas/noticia/2025/12/22/carrefour-brasil-conclui-processo-e-deixa-de-ser-companhia-aberta.ghtml; BD br_me_cnpj cnpj_basico=75315333,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
10,Cargill,Cargill Alimentos Ltda.,01961898,01961898000127,false,"CVM cad_cia_aberta.csv (latin-1; downloaded 2026-08-24 from dados.cvm.gov.br): no ATIVO (or matching) row for this CNPJ/razao; CVM has only CANCELADA Cargill Fertilizantes SA 61.156.501/0001-56 (2003-08-20), a different company.",false,"Not a federal SOE. Ltda, natureza=2062.",foreign,pending,"Valor capital_origem=US. RF exact CARGILL ALIMENTOS LTDA capital=9505798307 natureza=2062. Rejected CARGILL ALIMENTOS COMPLETOS LTDA 50478658 (different, smaller). Parent: Cargill, Incorporated (US). Brazilian CEO is not default controller.",Valor capital_origem=US; BD br_me_cnpj CARGILL ALIMENTOS LTDA cnpj_basico=01961898; CVM no ATIVO row,"basedosdados.br_me_cnpj.empresas+estabelecimentos (partition data=2026-01-11, billing_project=billionarewatcher)",2026-08-24
