rank_2024,rank_2023,empresa,sede,setor,receita_liquida_rs_mi,var_receita_pct,lucro_liquido_rs_mi,var_lucro_pct,margem_liquida_pct,rentab_pl_medio_pct,lucro_ativ_rs_mi,lucro_financ_rs_mi,ebitda_rs_mi,var_ebitda_pct,ativo_total_rs_mi,patrim_liquido_rs_mi,endiv_oneroso_rs_mi,nivel_endiv_geral_pct,nivel_endiv_oneroso_pct,liquidez_corrente,capital_origem,razao_social,ranking_source,source_url,source_json,retrieved_at
1,1,Petrobras,RJ,Petróleo e Gás,"490.829,0","-4,1","37.009,0","-70,4","7,5","9,9","137.466,0","-82.471,0","204.234,0","-20,1","1.124.797,0","367.514,0","373.467,0","206,1","101,6","0,69",BR,Petróleo Brasileiro S.A. Petrobras,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
2,2,JBS,SP,Alimentos e Bebidas,"416.952,0","14,6","10.704,0","1.568,0","2,6","22,0","23.305,7","-8.963,1","35.589,0","121,4","251.936,0","50.370,4","121.324,9","400,2","240,9","1,47",BR,JBS S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
3,3,Raízen,RJ,Petróleo e Gás,"255.268,5","15,8","-4.177,0","-780,1","-1,6","-20,7","1.274,2","-7.462,6","13.668,5","-20,2","140.999,7","18.175,9","76.954,9","675,7","423,4","1,33",BR/GB/HO,Raizen S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
4,4,Vale,RJ,Mineração,"206.005,0","-1,0","30.431,0","-25,0","14,8","14,8","55.588,0","-21.235,0","71.984,0","-10,7","496.325,0","213.720,0","99.882,0","132,2","46,7","1,03",BR,Vale S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
5,5,Vibra,RJ,Petróleo e Gás,"172.272,0","5,7","6.367,0","33,6","3,7","35,3","2.154,0","-231,0","9.323,0","15,1","49.000,0","20.385,0","20.926,0","140,4","102,7","3,04",BR,Vibra Energia S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
6,6,Cosan,SP,Petróleo e Gás,"169.273,0","12,9","-9.424,0","-961,4","-5,6","-20,1","9.940,0","-12.386,0","15.591,0","-24,4","204.674,0","41.092,0","103.549,0","398,1","252,0","1,36",BR,Cosan S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
7,7,Marfrig,SP,Alimentos e Bebidas,"148.861,0","12,6","3.880,9","207,2","2,6","17,3","5.971,9","-5.532,2","14.219,2","86,3","137.510,1","19.938,1","67.886,3","589,7","340,5","1,28",BR,Marfrig Global Foods S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
8,8,Ultrapar,SP,Petróleo e Gás,"133.498,9","5,9","2.525,9","0,3","1,9","16,9","4.802,7","-931,9","6.156,2","7,4","39.558,1","15.823,4","15.787,3","150,0","99,8","1,53",BR,Ultrapar Participações S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
9,10,Grupo Carrefour Brasil,SP,Comércio Varejista,"115.636,0","5,3","1.940,0","403,6","1,7","8,9","4.393,0","-2.764,0","6.105,0","27,7","100.188,0","22.614,0","24.968,0","343,0","110,4","1,00",FR,Atacadão S.A.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
10,9,Cargill,SP,Agronegócio,"109.188,2","-13,6","-1.738,1","-169,5","-1,6","-16,4","3.956,6","-6.952,7","4.906,6","69,7","44.208,4","10.166,5","24.613,5","334,8","242,1","0,91",US,Cargill Alimentos Ltda.,Valor 1000,https://infograficos.valor.globo.com/valor1000/rankings/ranking-das-1000-maiores/2025,https://infovalorbucket.s3.amazonaws.com/arquivos/valor-1000/2025/ranking-das-1000-maiores/RankingValor10002025.json,2026-08-24
