cnpj_basico,qty_ordinarias,qty_preferenciais,source_doc,source_locator,source_retrieved_at
07689002,740465044,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147260 Versao 9,2024-12-31
33592510,4539007568,12,CVM FRE item 17.1 Capital Emitido,Data_Referencia 2024-12-31 ID_Documento 147435 Versao 23,2024-12-31
03220438,1253847835,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148115 Versao 37,2024-12-31
34274233,1119000000,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148521 Versao 19,2024-12-31
07415333,873040533,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147447 Versao 7,2024-12-31
01838723,1682473246,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148266 Versao 8,2024-12-31
17155730,956601911,1905179984,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148065 Versao 11,2024-12-31
01083200,1213797248,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146731 Versao 9,2024-12-31
43776517,683509868,1,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148172 Versao 22,2024-12-31
06057223,1352245185,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147799 Versao 24,2024-12-31
02916265,2218116370,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148263 Versao 19,2024-12-31
33453598,8993572584,1358936900,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2025-03-31 ID_Documento 150921 Versao 26,2025-03-31
33611500,718346219,1309848730,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148343 Versao 15,2024-12-31
50746577,1866570932,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148267 Versao 17,2024-12-31
06047087,2289292590,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147426 Versao 10,2024-12-31
02558157,3261287392,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147290 Versao 7,2024-12-31
61585865,1718007200,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146900 Versao 13,2024-12-31
42150391,451668652,345539182,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147168 Versao 11,2024-12-31
47960950,738995248,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146869 Versao 6,2024-12-31
33042730,1326093947,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147221 Versao 8,2024-12-31
33256439,1115507182,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146605 Versao 7,2024-12-31
67620377,607283407,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147278 Versao 7,2024-12-31
16404287,1264117615,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146712 Versao 11,2024-12-31
02429144,1152254440,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148068 Versao 5,2024-12-31
00001180,2028544286,280088314,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147675 Versao 22,2024-12-31
16670085,1082620720,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147999 Versao 13,2024-12-31
33000167,7442231382,5446501379,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 148031 Versao 28,2024-12-31
03853896,857928119,,CVM FRE item 17.1 Capital Emitido,Data_Referencia 2024-12-31 ID_Documento 148261 Versao 15,2024-12-31
24990777,2248469834,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 146536 Versao 9,2024-12-31
84429695,4197317998,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147065 Versao 5,2024-12-31
07526557,15761638756,,CVM FRE item 17.1 Capital Integralizado,Data_Referencia 2024-12-31 ID_Documento 147076 Versao 7,2024-12-31
