original_name,name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,observations
,ano,int64,FCA extract year.,2026(1)2026,no,,,Added in staging.
CNPJ_Companhia,id_cnpj,string,"Issuer CNPJ, digits only, padded to 14.",(1),no,,,
Data_Referencia,data_referencia,date,Reference date of the FCA filing.,(1),no,,,
Versao,versao,int64,Document version number.,(1),no,,,
ID_Documento,id_documento,string,"FCA document id. Floor later keeps the latest per (CNPJ, ticker).",(1),no,,,
Nome_Empresarial,razao_social,string,Issuer legal name on the FCA.,(1),no,,,
Valor_Mobiliario,tipo_valor_mobiliario,string,"Security type (Ações Ordinárias, Ações Preferenciais…).",(1),no,,,
Sigla_Classe_Acao_Preferencial,sigla_classe_acao_preferencial,string,Preferred-class ticker suffix when present.,(1),no,,,
Classe_Acao_Preferencial,classe_acao_preferencial,string,Preferred-class description.,(1),no,,,
Codigo_Negociacao,ticker,string,B3 trading code. Joins COTAHIST CODNEG.,(1),no,,,
Composicao_BDR_Unit,composicao_bdr_unit,string,BDR/unit composition when the security is a unit.,(1),no,,,
Mercado,tipo_mercado,string,Market (Bolsa / Balcão). Floor later keeps Bolsa.,(1),no,,,
Sigla_Entidade_Administradora,sigla_entidade_administradora,string,Exchange acronym.,(1),no,,,
Entidade_Administradora,nome_entidade_administradora,string,Exchange name.,(1),no,,,
Data_Inicio_Negociacao,data_inicio_negociacao,date,First trading date.,(1),no,,,
Data_Fim_Negociacao,data_fim_negociacao,date,Last trading date. Empty means still listed.,(1),no,,,
Segmento,segmento,string,"Listing segment (Novo Mercado, Nível 2, …).",(1),no,,,
Data_Inicio_Listagem,data_inicio_listagem,date,Listing start date.,(1),no,,,
Data_Fim_Listagem,data_fim_listagem,date,Listing end date.,(1),no,,,
