original_name,name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,observations
,ano,int64,FRE extract year.,2026(1)2026,no,,,Added in staging.
CNPJ_Companhia,id_cnpj,string,"Issuer CNPJ, digits only, padded to 14.",(1),no,,,
Data_Referencia,data_referencia,date,Reference date of this FRE shareholder position.,(1),no,,,
Versao,versao,int64,Document version number inside the FRE package.,(1),no,,,
ID_Documento,id_documento,string,FRE document id. Walk later keeps max(id_documento) per company.,(1),no,,,
Nome_Companhia,nome_companhia,string,Issuer name as written on the FRE.,(1),no,,,
ID_Acionista,id_acionista,string,Shareholder id inside the document.,(1),no,,,
Acionista,nome_acionista,string,Shareholder name as cited. Keep Outros and tesouraria rows.,(1),no,,,
Tipo_Pessoa_Acionista,tipo_pessoa_acionista,string,Shareholder person type.,(1),yes,,,
CPF_CNPJ_Acionista,documento_acionista,string,Shareholder CPF (11) or CNPJ (14) when digits are complete; otherwise the masked source string. Warehouse-only.,(1),no,,,
ID_Acionista_Relacionado,id_acionista_relacionado,string,Related-shareholder id when the row is a related holding.,(1),no,,,
Acionista_Relacionado,nome_acionista_relacionado,string,Related-shareholder name.,(1),no,,,
Tipo_Pessoa_Acionista_Relacionado,tipo_pessoa_acionista_relacionado,string,Related-shareholder person type.,(1),yes,,,
CPF_CNPJ_Acionista_Relacionado,documento_acionista_relacionado,string,Related-shareholder CPF/CNPJ or mask.,(1),no,,,
Quantidade_Acao_Ordinaria_Circulacao,quantidade_acao_ordinaria_circulacao,int64,Ordinary shares in circulation attributed to this shareholder.,(1),no,,acao,
Percentual_Acao_Ordinaria_Circulacao,proporcao_acao_ordinaria_circulacao,float64,Percent of ordinary shares in circulation (0-100). Criterion uses >= 10.,(1),no,,%,
Quantidade_Acao_Preferencial_Circulacao,quantidade_acao_preferencial_circulacao,int64,Preferred shares in circulation.,(1),no,,acao,
Percentual_Acao_Preferencial_Circulacao,proporcao_acao_preferencial_circulacao,float64,Percent of preferred shares in circulation (0-100).,(1),no,,%,
Quantidade_Total_Acoes_Circulacao,quantidade_total_acao_circulacao,int64,Total shares in circulation.,(1),no,,acao,
Percentual_Total_Acoes_Circulacao,proporcao_total_acao_circulacao,float64,Percent of total shares in circulation (0-100).,(1),no,,%,
Nacionalidade,nacionalidade,string,Shareholder nationality.,(1),no,,,
Sigla_UF,sigla_uf,string,UF of the shareholder when resident in Brazil.,(1),no,br_bd_diretorios_brasil.uf:sigla_uf,,
Residente_Exterior,indicador_residente_exterior,string,Whether the shareholder lives abroad.,(1),yes,,,
Representante_Legal,nome_representante_legal,string,Legal representative name.,(1),no,,,
Tipo_Pessoa_Representante_Legal,tipo_pessoa_representante_legal,string,Legal representative person type.,(1),yes,,,
CPF_CNPJ_Representante_legal,documento_representante_legal,string,Legal representative CPF/CNPJ. Official source spelling uses lowercase l.,(1),no,,,
Data_Composicao_Capital_Social,data_composicao_capital_social,string,Capital-composition date as published (kept string; formats vary).,(1),no,,,
Data_Ultima_Alteracao,data_ultima_alteracao,date,Last change date of this position.,(1),no,,,
Acionista_Controlador,indicador_acionista_controlador,string,S/N controller flag from the FRE. This is the citeable control signal.,(1),yes,,,
Participante_Acordo_Acionistas,indicador_participante_acordo_acionistas,string,S/N shareholders-agreement flag. No separate acordo CSV exists.,(1),yes,,,
