original_name,name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,observations
data,data,date,Receita snapshot partition copied from basedosdados.br_me_cnpj.estabelecimentos.,2026-01(1)2026-01,no,,,
ano,ano,int64,Year extracted from the partition date.,(1),no,,,
mes,mes,int64,Month extracted from the partition date.,(1),no,,,
cnpj,cnpj,string,14-digit establishment CNPJ.,(1),no,,,
cnpj_basico,cnpj_basico,string,8-digit company root.,(1),no,,,
cnpj_ordem,cnpj_ordem,string,4-digit establishment order. Headquarters are 0001.,(1),no,,,
cnpj_dv,cnpj_dv,string,2-digit check digits.,(1),no,,,
identificador_matriz_filial,identificador_matriz_filial,string,1 matriz / 2 filial.,(1),yes,,,
nome_fantasia,nome_fantasia,string,Trade name of the establishment.,(1),no,,,
situacao_cadastral,situacao_cadastral,string,Cadastral situation code.,(1),yes,,,
data_situacao_cadastral,data_situacao_cadastral,date,Date of the current cadastral situation.,(1),no,,,
motivo_situacao_cadastral,motivo_situacao_cadastral,string,Motive of the cadastral situation.,(1),no,,,
nome_cidade_exterior,nome_cidade_exterior,string,Foreign city when the establishment is abroad.,(1),no,,,
id_pais,id_pais,string,Country id.,(1),no,,,
data_inicio_atividade,data_inicio_atividade,date,Activity start date.,(1),no,,,
cnae_fiscal_principal,cnae_fiscal_principal,string,Primary CNAE.,(1),no,,,
cnae_fiscal_secundaria,cnae_fiscal_secundaria,string,"Secondary CNAEs, source delimiter preserved.",(1),no,,,
sigla_uf,sigla_uf,string,Federation unit.,(1),no,br_bd_diretorios_brasil.uf:sigla_uf,,
id_municipio,id_municipio,string,IBGE 7-digit municipality id.,(1),no,br_bd_diretorios_brasil.municipio:id_municipio,,
id_municipio_rf,id_municipio_rf,string,"Receita municipality id, distinct from IBGE.",(1),no,,,
tipo_logradouro,tipo_logradouro,string,Street type.,(1),no,,,
logradouro,logradouro,string,Street name.,(1),no,,,
numero,numero,string,Street number.,(1),no,,,
complemento,complemento,string,Address complement.,(1),no,,,
bairro,bairro,string,Neighborhood.,(1),no,,,
cep,cep,string,Postal code.,(1),no,,,
ddd_1,ddd_1,string,Primary telephone area code.,(1),no,,,
telefone_1,telefone_1,string,Primary telephone.,(1),no,,,
ddd_2,ddd_2,string,Secondary telephone area code.,(1),no,,,
telefone_2,telefone_2,string,Secondary telephone.,(1),no,,,
ddd_fax,ddd_fax,string,Fax area code.,(1),no,,,
fax,fax,string,Fax number.,(1),no,,,
email,email,string,Establishment email.,(1),no,,,
situacao_especial,situacao_especial,string,Special situation when present.,(1),no,,,
data_situacao_especial,data_situacao_especial,date,Special-situation date.,(1),no,,,
