original_name,name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,observations
data,data,date,Receita snapshot partition copied from basedosdados.br_me_cnpj.socios.,2026-01(1)2026-01,no,,,
ano,ano,int64,Year extracted from the partition date.,(1),no,,,
mes,mes,int64,Month extracted from the partition date.,(1),no,,,
cnpj_basico,cnpj_basico,string,8-digit company root. Leading zeros preserved.,(1),no,,,
tipo,tipo,string,"Partner type: 1 PJ, 2 PF, 3 foreign.",(1),yes,,,
nome,nome,string,Partner name or razão social as filed.,(1),no,,,
documento,documento,string,"Masked CPF or CNPJ. Match later with a mask derived from the warehouse CPF, never by name alone.",(1),no,,,
qualificacao,qualificacao,string,"RF qualification code, 2 digits. Walk later keeps the ownership set and drops administrators.",(1),yes,,,
data_entrada_sociedade,data_entrada_sociedade,date,Date the partner entered the company.,(1),no,,,
id_pais,id_pais,string,Country id when published.,(1),no,,,
cpf_representante_legal,cpf_representante_legal,string,Legal-representative CPF (often masked).,(1),no,,,
nome_representante_legal,nome_representante_legal,string,Legal-representative name.,(1),no,,,
qualificacao_representante_legal,qualificacao_representante_legal,string,Legal-representative qualification code.,(1),yes,,,
faixa_etaria,faixa_etaria,string,Age band of a natural-person partner.,(1),yes,,,
