cnpj_basico,ticker,classe,preco,preco_date,source
00864214,ENGI11,unit,46.28,2025-05-16,Brasil Bolsa Balcão
00864214,ENGI3,ordinaria,12.21,2025-05-16,Brasil Bolsa Balcão
00864214,ENGI4,preferencial,8.50,2025-05-16,Brasil Bolsa Balcão
07689002,EMBR3,ordinaria,68.75,2025-05-16,Brasil Bolsa Balcão
33592510,VALE3,ordinaria,55.49,2025-05-16,Brasil Bolsa Balcão
03220438,EQTL3,ordinaria,36.48,2025-05-16,Brasil Bolsa Balcão
34274233,VBBR3,ordinaria,19.56,2025-05-16,Brasil Bolsa Balcão
07415333,SIMH3,ordinaria,4.88,2025-05-16,Brasil Bolsa Balcão
01838723,BRFS3,ordinaria,20.78,2025-05-16,Brasil Bolsa Balcão
17155730,CMIG3,ordinaria,14.66,2025-05-16,Brasil Bolsa Balcão
17155730,CMIG4,preferencial,10.48,2025-05-16,Brasil Bolsa Balcão
01083200,NEOE3,ordinaria,23.75,2025-05-16,Brasil Bolsa Balcão
43776517,SBSP3,ordinaria,116.30,2025-05-16,Brasil Bolsa Balcão
06057223,ASAI3,ordinaria,9.93,2025-05-16,Brasil Bolsa Balcão
02916265,JBSS3,ordinaria,38.90,2025-05-16,Brasil Bolsa Balcão
33453598,RAIZ4,preferencial,1.71,2025-05-16,Brasil Bolsa Balcão
33611500,GGBR3,ordinaria,15.11,2025-05-16,Brasil Bolsa Balcão
33611500,GGBR4,preferencial,15.77,2025-05-16,Brasil Bolsa Balcão
50746577,CSAN3,ordinaria,7.57,2025-05-16,Brasil Bolsa Balcão
06047087,RDOR3,ordinaria,35.60,2025-05-16,Brasil Bolsa Balcão
02558157,VIVT3,ordinaria,27.81,2025-05-16,Brasil Bolsa Balcão
61585865,RADL3,ordinaria,15.22,2025-05-16,Brasil Bolsa Balcão
42150391,BRKM3,ordinaria,10.40,2025-05-16,Brasil Bolsa Balcão
42150391,BRKM5,preferencial,10.56,2025-05-16,Brasil Bolsa Balcão
47960950,MGLU3,ordinaria,9.78,2025-05-16,Brasil Bolsa Balcão
33042730,CSNA3,ordinaria,9.07,2025-05-16,Brasil Bolsa Balcão
33256439,UGPA3,ordinaria,17.41,2025-05-16,Brasil Bolsa Balcão
67620377,BEEF3,ordinaria,5.19,2025-05-16,Brasil Bolsa Balcão
16404287,SUZB3,ordinaria,53.67,2025-05-16,Brasil Bolsa Balcão
02429144,CPFE3,ordinaria,39.76,2025-05-16,Brasil Bolsa Balcão
00001180,ELET3,ordinaria,41.84,2025-05-16,Brasil Bolsa Balcão
00001180,ELET6,preferencial,46.35,2025-05-16,Brasil Bolsa Balcão
16670085,RENT3,ordinaria,41.84,2025-05-16,Brasil Bolsa Balcão
33000167,PETR3,ordinaria,34.15,2025-05-16,Brasil Bolsa Balcão
33000167,PETR4,preferencial,32.02,2025-05-16,Brasil Bolsa Balcão
03853896,MRFG3,ordinaria,25.07,2025-05-16,Brasil Bolsa Balcão
24990777,GMAT3,ordinaria,7.79,2025-05-16,Brasil Bolsa Balcão
84429695,WEGE3,ordinaria,45.00,2025-05-16,Brasil Bolsa Balcão
07526557,ABEV3,ordinaria,14.39,2025-05-16,Brasil Bolsa Balcão
