id_tabela,nome_coluna,chave,valor
stg_valor_empresa_inventario,tipo_societario,sociedade anônima aberta,Sociedade anônima aberta
stg_valor_empresa_inventario,tipo_societario,sociedade anônima fechada,Sociedade anônima fechada
stg_valor_empresa_inventario,tipo_societario,desconhecido,Desconhecido
stg_valor_empresa_inventario,indicador_grafo,sim,Sim
stg_valor_empresa_inventario,indicador_formulario,sim,Sim
stg_valor_empresa_inventario,indicador_grafo,não,Não
stg_valor_empresa_inventario,indicador_formulario,não,Não
stg_valor_empresa_inventario,indicador_formulario,buraco,Buraco
stg_valor_empresa_inventario,situacao_passeio,só inventário,Só inventário
stg_valor_empresa_inventario,situacao_passeio,árvore no grafo,Árvore no grafo
stg_valor_empresa_inventario,situacao_passeio,pulada-já-semente,"Pulada, já semente"
stg_valor_empresa_inventario,situacao_passeio,grupo sem sócio,Grupo sem sócio
stg_valor_empresa_inventario,situacao_passeio,buraco,Buraco
stg_valor_empresa_inventario,situacao_passeio,inventário-fechada-não-andar,"Inventário, fechada, não andar"
stg_valor_empresa_inventario,identificador,folha,Folha
stg_valor_empresa_inventario,identificador,globo,Globo
stg_valor_empresa_inventario,identificador,havan,Havan
stg_valor_empresa_inventario,identificador,record,Record
stg_valor_empresa_inventario,identificador,vazio,Sem CNPJ (sentinela)
stg_cvm_cia_aberta,situacao,ATIVO,Ativo
stg_cvm_cia_aberta,situacao,CANCELADA,Cancelada
stg_cvm_cia_aberta,situacao,SUSPENSO,Suspenso
stg_cvm_cia_aberta,tipo_controle_acionario,PRIVADO,Privado
stg_cvm_cia_aberta,tipo_controle_acionario,ESTATAL,Estatal
stg_cvm_cia_aberta,tipo_controle_acionario,ESTRANGEIRO,Estrangeiro
stg_cvm_fre_posicao_acionaria,indicador_acionista_controlador,S,Sim
stg_cvm_fre_posicao_acionaria,indicador_acionista_controlador,N,Não
stg_cvm_fre_posicao_acionaria,indicador_participante_acordo_acionistas,S,Sim
stg_cvm_fre_posicao_acionaria,indicador_participante_acordo_acionistas,N,Não
stg_cvm_fre_posicao_acionaria,indicador_residente_exterior,S,Sim
stg_cvm_fre_posicao_acionaria,indicador_residente_exterior,N,Não
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,Pessoa Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,Pessoa Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,PF,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista,PJ,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,Pessoa Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,Pessoa Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,PF,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_acionista_relacionado,PJ,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,Pessoa Física,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,Pessoa Jurídica,Pessoa jurídica
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,PF,Pessoa física
stg_cvm_fre_posicao_acionaria,tipo_pessoa_representante_legal,PJ,Pessoa jurídica
stg_cvm_fre_capital_social,tipo_capital,Autorizado,Autorizado
stg_cvm_fre_capital_social,tipo_capital,Emitido,Emitido
stg_cvm_fre_capital_social,tipo_capital,Subscrito,Subscrito
stg_cvm_fre_capital_social,tipo_capital,Integralizado,Integralizado
stg_bcb_entidade_supervisionada,tipo_situacao,3,Em funcionamento
