cnpj_basico,node_kind,name
00864214,company,Energisa S.A.
02260956,company,Gipar S.A.
11223344,company,Nova Gipar Holding S.A.
55667788,company,Itacatu Participações S.A.
99887766,company,Multisetor Holding S.A.
12345678,fund,Fundo Exemplo XYZ FIP
22334455,company,Gestora Exemplo LTDA
33445566,company,Administrador Exemplo S.A.
44556677,company,Minoritário Alpha S.A.
55443322,company,Minoritário Squadra DTVM S.A.
66554433,company,Minoritário Opportunity Equity S.A.
77665544,company,BNDESPAR Participações S.A.
00000001,outros,Outros Acionistas (Float)
