cnpj_basico,ticker,classe,preco,preco_date,source
00864214,ENGI3,ordinaria,45.20,2026-08-20,Brasil Bolsa Balcão
00864214,ENGI4,preferencial,42.80,2026-08-20,Brasil Bolsa Balcão
00864214,ENGI3,ordinaria,45.75,2026-08-21,Brasil Bolsa Balcão
00864214,ENGI4,preferencial,43.10,2026-08-21,Brasil Bolsa Balcão
07689002,EMBR3,ordinaria,58.10,2026-08-25,Recorded fixture quote
33592510,VALE3,ordinaria,73.10,2026-08-25,Recorded fixture quote
03220438,EQTL3,ordinaria,36.40,2026-08-25,Recorded fixture quote
34274233,VBBR3,ordinaria,24.80,2026-08-25,Recorded fixture quote
07415333,SIMH3,ordinaria,6.20,2026-08-25,Recorded fixture quote
01838723,BRFS3,ordinaria,22.30,2026-08-25,Recorded fixture quote
17155730,CMIG3,ordinaria,15.40,2026-08-25,Recorded fixture quote
17155730,CMIG4,preferencial,13.20,2026-08-25,Recorded fixture quote
01083200,NEOE3,ordinaria,25.70,2026-08-25,Recorded fixture quote
43776517,SBSP3,ordinaria,119.50,2026-08-25,Recorded fixture quote
06057223,ASAI3,ordinaria,10.10,2026-08-25,Recorded fixture quote
02916265,JBSS3,ordinaria,39.60,2026-08-25,Recorded fixture quote
33453598,RAIZ4,preferencial,1.20,2026-08-25,Recorded fixture quote
33611500,GGBR3,ordinaria,16.30,2026-08-25,Recorded fixture quote
33611500,GGBR4,preferencial,17.40,2026-08-25,Recorded fixture quote
50746577,CSAN3,ordinaria,6.90,2026-08-25,Recorded fixture quote
06047087,RDOR3,ordinaria,41.80,2026-08-25,Recorded fixture quote
02558157,VIVT3,ordinaria,36.70,2026-08-25,Recorded fixture quote
61585865,RADL3,ordinaria,17.90,2026-08-25,Recorded fixture quote
42150391,BRKM3,ordinaria,10.60,2026-08-25,Recorded fixture quote
42150391,BRKM5,preferencial,9.80,2026-08-25,Recorded fixture quote
47960950,MGLU3,ordinaria,7.30,2026-08-25,Recorded fixture quote
33042730,CSNA3,ordinaria,8.40,2026-08-25,Recorded fixture quote
33256439,UGPA3,ordinaria,18.70,2026-08-25,Recorded fixture quote
67620377,BEEF3,ordinaria,5.30,2026-08-25,Recorded fixture quote
16404287,SUZB3,ordinaria,52.60,2026-08-25,Recorded fixture quote
02429144,CPFE3,ordinaria,47.10,2026-08-25,Recorded fixture quote
00001180,ELET3,ordinaria,52.40,2026-08-25,Recorded fixture quote
00001180,ELET6,preferencial,57.30,2026-08-25,Recorded fixture quote
16670085,RENT3,ordinaria,35.80,2026-08-25,Recorded fixture quote
33000167,PETR3,ordinaria,34.20,2026-08-25,Recorded fixture quote
33000167,PETR4,preferencial,31.90,2026-08-25,Recorded fixture quote
03853896,MRFG3,ordinaria,20.40,2026-08-25,Recorded fixture quote
24990777,GMAT3,ordinaria,5.60,2026-08-25,Recorded fixture quote
84429695,WEGE3,ordinaria,42.30,2026-08-25,Recorded fixture quote
07526557,ABEV3,ordinaria,13.20,2026-08-25,Recorded fixture quote
