ranking_family,valor_rank,empresa,razao_social
industrial,1,Petrobras,Petróleo Brasileiro S.A. Petrobras
industrial,2,JBS,JBS S.A.
industrial,3,Raízen,Raizen S.A.
industrial,4,Vale,Vale S.A.
industrial,5,Vibra,Vibra Energia S.A.
industrial,6,Cosan,Cosan S.A.
industrial,7,Marfrig,Marfrig Global Foods S.A.
industrial,8,Ultrapar,Ultrapar Participações S.A.
industrial,9,Grupo Carrefour Brasil,Atacadão S.A.
industrial,10,Cargill,Cargill Alimentos Ltda.
industrial,11,Ambev,Ambev S.A.
industrial,12,Stellantis,Stellantis Automóveis Brasil Ltda.
industrial,13,Braskem,Braskem S.A.
industrial,14,Assaí Atacadista,Sendas Distribuidora S.A.
industrial,15,Bunge Alimentos,Bunge Alimentos S.A.
industrial,16,Gerdau,Gerdau S.A.
industrial,17,ArcelorMittal,Arcelormittal Brasil S.A.
industrial,18,Copersucar,Copersucar S.A.
industrial,19,Mercado Livre,Mercadolivre.com Atividades de Internet Ltda.
industrial,20,BRF,BRF S.A.
industrial,21,Telefônica Brasil,Telefônica Brasil S.A.
industrial,22,Shell,Shell Brasil Petróleo Ltda.
industrial,23,Cofco International,Cofco International Brasil S.A.
industrial,24,Rede D'Or,Rede D' Or São Luiz S.A.
industrial,25,Neoenergia,Neoenergia S.A.
industrial,26,Claro Participações,Claro Telecom Participações S.A.
industrial,27,Suzano,Suzano S.A.
industrial,28,Acelen,Refinaria de Mataripe S.A.
industrial,29,Equatorial,Equatorial S.A.
industrial,30,Grupo Enel,Enel Brasil S.A.
industrial,31,CSN,Companhia Siderúrgica Nacional
industrial,32,Volkswagen,Volkswagen do Brasil Indústria de Veículos Automotores Ltda.
industrial,33,CPFL Energia,CPFL Energia S.A.
industrial,34,Grupo Simpar,Simpar S.A.
industrial,35,Amaggi,André Maggi Participações S.A.
industrial,36,Eletrobras,Centrais Elétricas Brasileiras S.A.
industrial,37,Cemig,Companhia Energética de Minas Gerais
industrial,38,RD Saúde,Raia Drogasil S.A.
industrial,39,Louis Dreyfus Company,Louis Dreyfus Company Brasil S.A.
industrial,40,Magazine Luiza,Magazine Luiza S.A.
industrial,41,WEG,WEG S.A.
industrial,42,Localiza&Co,Localiza Rent a Car S.A.
industrial,43,Sabesp,Cia. de Saneamento Básico do Estado de São Paulo
industrial,44,Comexport,Comexport Cia. de Comércio Exterior
industrial,45,Embraer,Embraer S.A.
industrial,46,Honda,Honda South America Ltda.
industrial,47,Latam,TAM S.A.
industrial,48,Minerva Foods,Minerva S.A.
industrial,49,Energisa,Energisa S.A.
industrial,50,Grupo Mateus,Grupo Mateus S.A.
industrial,51,Samsung,Samsung Eletrônica da Amazônia Ltda.
industrial,52,Grupo Casas Bahia,Grupo Casas Bahia S.A.
industrial,53,Coamo,Coamo Agroindustrial Cooperativa
industrial,54,Votorantim Cimentos,Votorantim Cimentos S.A.
industrial,55,Usiminas,Usinas Siderúrgicas de Minas Gerais S.A. Usiminas
industrial,56,Syngenta,Syngenta Proteção de Cultivos Ltda.
industrial,57,TIM,TIM S.A.
industrial,58,Nestlé,Nestlé Brasil Ltda.
industrial,59,Mosaic Fertilizantes,Mosaic Fertilizantes do Brasil Ltda.
industrial,60,Natura & Co.,Natura & Co Holding S.A.
industrial,61,Aurora,Cooperativa Central Aurora Alimentos
industrial,62,Coca-Cola Femsa Brasil,Spal Indústria Brasileira de Bebidas S.A.
industrial,63,Copel,Companhia Paranaense de Energia
industrial,64,Volvo do Brasil,Volvo do Brasil Veículos Ltda.
industrial,65,Grupo CCR,CCR S.A.
industrial,66,Lar,Lar Cooperativa Agroindustrial
industrial,67,C. Vale,C. Vale - Cooperativa Agroindustrial
industrial,68,Basf,Basf S.A.
industrial,69,Viterra Agriculture,Viterra Agriculture Brasil S.A.
industrial,70,Klabin,Klabin S.A.
industrial,71,Azul,Azul S.A.
industrial,72,Gol Linhas Aéreas,Gol Linhas Aéreas Inteligentes S.A.
industrial,73,Correios,Empresa Brasileira de Correios e Telégrafos - ECT
industrial,74,GPA,Cia. Brasileira de Distribuição
industrial,75,Fertipar,Fertipar Fertilizantes do Paraná Ltda.
industrial,76,PagBank,Pagseguro Internet Instituição de Pagamento S.A.
industrial,77,EDP,EDP Energias do Brasil S.A.
industrial,78,Larco,Larco Comercial de Produtos de Petróleo Ltda.
industrial,79,Grupo Caoa,Hyundai Caoa do Brasil Ltda.
industrial,80,Renault,Renault do Brasil Ltda.
industrial,81,Globo,Globo Comunicação e Participações S.A.
industrial,82,Itaipu,Itaipu Binacional
industrial,83,Volkswagen Caminhões e Ônibus,Volkswagen Truck & Bus Indústria e Comércio de Veículos Ltda.
industrial,84,Sertrading (BR),BTG Pactual Commodities Sertrading S.A.
industrial,85,Drogarias DPSP,Drogarias DPSP S.A.
industrial,86,Yara Brasil,Yara Brasil Fertilizantes S.A.
industrial,87,Iochpe-Maxion,Iochpe-Maxion S.A.
industrial,88,Grupo Dasa,Diagnósticos da América S.A.
industrial,89,Atem,Atem´s Distribuidora de Petróleo S.A.
industrial,90,Hydro Alunorte,Alunorte - Alumina do Norte do Brasil S.A.
industrial,91,Nexa Resources,Nexa Resources S.A.
industrial,92,Grupo Light,Light S.A. - Em Recuperação Judicial
industrial,93,CNH,CNH Industrial Brasil Ltda.
industrial,94,Grupo GPS,GPS Participações e Empreendimentos S.A.
industrial,95,Petrogal,Petrogal Brasil S.A.
industrial,96,Lojas Renner,Lojas Renner S.A.
industrial,97,Grupo Águia Branca,Águia Branca Participações S.A.
industrial,98,Prio,Prio S.A.
industrial,99,Americanas,Americanas S.A. - Em Recuperação Judicial
industrial,100,Timbro Trading,Timbro Trading S.A.
industrial,101,Super Muffato,Irmãos Muffato S.A.
industrial,102,Rumo,Rumo S.A.
industrial,103,Aegea Saneamento,Aegea Saneamento e Participações S.A.
industrial,104,Novelis,Novelis do Brasil Ltda.
industrial,105,Inpasa Agroindustrial,Inpasa Agroindustrial S.A.
industrial,106,ALE,ALE Combustíveis S.A.
industrial,107,ALZ Grãos,Amaggi Louis Dreyfus Zen-Noh Holdings S.A.
industrial,108,Electrolux,Electrolux do Brasil S.A.
industrial,109,CBMM,Companhia Brasileira de Metalurgia e Mineração
industrial,110,Grupo Pereira,Grupo Pereira S.A.
